Start Time:  03/08/2022 9:37:00 AM        Time Completed:  03/08/2022 9:52:50 AM    Elapsed Time:  00:15:50
Sample ID:     HK015_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK015_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220308_HK015_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220308_HK015_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.000188684 	
 900.002 	 0.000184013 	
 799.998 	 0.000178196 	
 700.003 	 0.000169981 	
 600 	 0.000159767 	
 499.997 	 0.000147475 	
 424.998 	 0.000138179 	
 350 	 0.00012749 	
 274.998 	 0.000115802 	
 199.997 	 0.000103633 	
 175 	 0.000099734 	
 149.998 	 0.0000948364 	
 124.998 	 0.0000908991 	
 100.001 	 0.0000871873 	
 74.9929 	 0.0000826055 	
 49.9985 	 0.0000787786 	
 24.9985 	 0.0000733456 	
 0.000843776 	 0.0000656945 	
-24.9991 	 0.0000530301 	
-49.9999 	 0.0000442248 	
-75.0006 	 0.000038166 	
-100.002 	 0.000034289 	
-125.001 	 0.0000292975 	
-149.997 	 0.0000266674 	
-175.003 	 0.0000219249 	
-199.999 	 0.0000160726 	
-275 	 0.00000170663 	
-350 	-0.0000104739 	
-425.002 	-0.0000222527 	
-499.999 	-0.0000344237 	
-600.003 	-0.0000502345 	
-700.004 	-0.0000639287 	
-800.003 	-0.0000727735 	
-900.006 	-0.0000815507 	
-1000 	-0.0000869509 	
-899.997 	-0.0000806117 	
-799.997 	-0.0000733839 	
-700.002 	-0.0000642372 	
-600 	-0.0000540295 	
-499.998 	-0.0000426171 	
-424.998 	-0.0000303012 	
-350 	-0.000020947 	
-274.998 	-0.00000802127 	
-200.001 	 0.00000689491 	
-175 	 0.0000121076 	
-149.996 	 0.000017927 	
-124.998 	 0.0000216243 	
-99.9958 	 0.0000263164 	
-75.0019 	 0.0000322998 	
-49.9988 	 0.0000367027 	
-25.0004 	 0.0000445739 	
-0.00048489 	 0.000050765 	
 24.9997 	 0.0000650103 	
 50.0021 	 0.0000758793 	
 74.9991 	 0.0000813987 	
 100.004 	 0.0000881686 	
 124.998 	 0.0000940883 	
 150 	 0.000100451 	
 175.004 	 0.000105277 	
 200.002 	 0.000110087 	
 275.001 	 0.000123794 	
 350 	 0.000138946 	
 425.003 	 0.000152546 	
 500 	 0.000167001 	
 600.004 	 0.000181099 	
 700.005 	 0.000195451 	
 800.002 	 0.000206732 	
 900.004 	 0.000216515 	
 1000 	 0.000222287 	

	
	
