Start Time:  03/10/2022 10:22:00 AM       Time Completed:  03/10/2022 10:37:54 AM   Elapsed Time:  00:15:54
Sample ID:     HK018_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK018_OOP_1kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220310_HK018_OOP_1kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220310_HK018_OOP_1kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	 0.000163099 	
 899.997 	 0.000167941 	
 799.999 	 0.000170986 	
 700.002 	 0.000174873 	
 600 	 0.000178161 	
 500 	 0.000179362 	
 425.001 	 0.000182792 	
 349.999 	 0.000184512 	
 274.997 	 0.000188801 	
 199.996 	 0.000190063 	
 175.002 	 0.000190546 	
 149.997 	 0.000193038 	
 124.999 	 0.000193083 	
 99.9948 	 0.000194473 	
 75.0012 	 0.000194148 	
 49.9969 	 0.00019643 	
 24.9981 	 0.000196639 	
-0.00249941 	 0.000198431 	
-24.9984 	 0.000194318 	
-50.004 	 0.000178898 	
-75.0006 	 0.000177758 	
-99.9989 	-0.0000343609 	
-125 	-0.0000851319 	
-150.002 	-0.00011407 	
-175.004 	-0.000134002 	
-200.001 	-0.000140889 	
-275.001 	-0.000139265 	
-350.004 	-0.000137989 	
-425.006 	-0.000134822 	
-500.004 	-0.000131988 	
-600.005 	-0.000130035 	
-700.006 	-0.000124727 	
-800.009 	-0.000123871 	
-900.002 	-0.000119139 	
-1000 	-0.000116817 	
-900 	-0.000119072 	
-799.998 	-0.000121299 	
-699.999 	-0.000124236 	
-599.998 	-0.000126482 	
-499.996 	-0.000129647 	
-424.999 	-0.000130583 	
-350.002 	-0.000132005 	
-274.998 	-0.000133919 	
-199.997 	-0.000135332 	
-174.999 	-0.000136758 	
-149.998 	-0.000135512 	
-124.996 	-0.000136234 	
-100.003 	-0.000138558 	
-74.9973 	-0.000138142 	
-49.9991 	-0.000137787 	
-25.0001 	-0.000138242 	
-0.001256 	-0.000138815 	
 24.9992 	-0.00013478 	
 50.0044 	-0.000120425 	
 75.0009 	-0.000116946 	
 100.001 	 0.0000844793 	
 125.002 	 0.000144053 	
 150.002 	 0.000173303 	
 175.001 	 0.000196185 	
 200.001 	 0.000206242 	
 275.004 	 0.000204195 	
 350.003 	 0.000202743 	
 425.001 	 0.000201444 	
 500 	 0.000198967 	
 600.005 	 0.000197353 	
 700.003 	 0.000195138 	
 800.001 	 0.000191244 	
 900.009 	 0.000189493 	
 1000.01 	 0.000186969 	

	
	
