Start Time:  03/25/2022 10:56:48 AM       Time Completed:  03/25/2022 11:12:44 AM   Elapsed Time:  00:15:55
Sample ID:     HK021-Cap_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021-Cap_OOP_1kG_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 1000 	-0.0000686241 	
 899.998 	-0.0000636476 	
 800.001 	-0.0000589806 	
 699.998 	-0.0000557574 	
 599.997 	-0.0000515971 	
 499.994 	-0.0000457859 	
 424.996 	-0.0000452333 	
 350.001 	-0.0000415386 	
 274.996 	-0.0000381674 	
 200 	-0.0000354698 	
 174.998 	-0.0000342162 	
 150.001 	-0.0000330734 	
 124.998 	-0.0000315714 	
 99.9998 	-0.000029619 	
 74.9987 	-0.0000282327 	
 49.997 	-0.0000267097 	
 24.9997 	-0.00002649 	
-0.00287781 	-0.0000264952 	
-25.0002 	-0.0000324752 	
-49.9984 	-0.0000322321 	
-75.002 	-0.000031942 	
-99.9996 	-0.0000531302 	
-125.002 	-0.000222622 	
-150.004 	-0.000253274 	
-175.005 	-0.000275629 	
-199.999 	-0.00028129 	
-275 	-0.000279432 	
-349.997 	-0.000277277 	
-425.003 	-0.000274005 	
-500 	-0.000270601 	
-600.005 	-0.000266602 	
-699.997 	-0.000263351 	
-800.004 	-0.000260145 	
-900.001 	-0.000254519 	
-1000 	-0.000252358 	
-899.998 	-0.000253991 	
-800 	-0.000257805 	
-700 	-0.000260328 	
-600.001 	-0.000263606 	
-500 	-0.000266121 	
-424.997 	-0.000268384 	
-349.994 	-0.000269174 	
-274.997 	-0.000271786 	
-199.998 	-0.000275206 	
-175 	-0.000272952 	
-149.998 	-0.000275713 	
-124.999 	-0.000276028 	
-99.9996 	-0.00027458 	
-75.0008 	-0.000276716 	
-49.9922 	-0.000276793 	
-24.9996 	-0.000275508 	
 0.00401898 	-0.000275437 	
 25.0026 	-0.000267706 	
 50.0028 	-0.000266505 	
 75.0038 	-0.000265957 	
 100.003 	-0.000254831 	
 125.002 	-0.0000781639 	
 149.999 	-0.0000445771 	
 175.002 	-0.0000193369 	
 199.997 	-0.0000121582 	
 275 	-0.0000130486 	
 350.001 	-0.0000153924 	
 425.004 	-0.0000174354 	
 500.003 	-0.0000200301 	
 600.001 	-0.000022723 	
 700.005 	-0.0000246781 	
 800 	-0.0000280448 	
 900.008 	-0.0000318675 	
 1000 	-0.0000353513 	

	
	
