Start Time:  03/25/2022 9:53:11 AM        Time Completed:  03/25/2022 10:09:10 AM   Elapsed Time:  00:15:58
Sample ID:     HK021_OOP_1kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021_OOP_1kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220325_HK021_OOP_1kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_1kG\Hannah_1kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220325_HK021_OOP_1kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 1000.01 	-0.000127004 	
 899.996 	-0.000126104 	
 799.998 	-0.000124558 	
 700.002 	-0.000123665 	
 599.996 	-0.000125231 	
 500.002 	-0.00013039 	
 425.002 	-0.000132468 	
 350.001 	-0.000138072 	
 274.998 	-0.000144781 	
 199.997 	-0.000154618 	
 174.998 	-0.000156726 	
 149.998 	-0.000161082 	
 125 	-0.000163686 	
 99.9972 	-0.00016814 	
 75.0038 	-0.000172021 	
 49.9968 	-0.000175089 	
 24.9975 	-0.000179444 	
 0.00366622 	-0.000184365 	
-25.0022 	-0.000194977 	
-50.0017 	-0.000198301 	
-75.0017 	-0.00020335 	
-99.9997 	-0.000206364 	
-124.996 	-0.000209991 	
-150.001 	-0.000214816 	
-175.001 	-0.000217815 	
-200 	-0.000221412 	
-274.999 	-0.000234748 	
-350.004 	-0.000245951 	
-425.004 	-0.000253407 	
-500.004 	-0.000256944 	
-600.006 	-0.000260981 	
-699.998 	-0.000263386 	
-800.004 	-0.000263055 	
-900.006 	-0.000262448 	
-1000.01 	-0.000259759 	
-900 	-0.000259862 	
-800.003 	-0.00025908 	
-699.999 	-0.000257552 	
-600 	-0.000254573 	
-499.997 	-0.000249741 	
-424.998 	-0.000244976 	
-349.998 	-0.000237859 	
-274.998 	-0.000228375 	
-200.001 	-0.000217309 	
-174.997 	-0.000211785 	
-150.001 	-0.000207384 	
-124.997 	-0.000203958 	
-99.9942 	-0.000195866 	
-74.9959 	-0.000192125 	
-50.0017 	-0.000186091 	
-24.9941 	-0.000181432 	
 0.00383756 	-0.000174153 	
 25.0017 	-0.000163592 	
 49.9992 	-0.000158343 	
 75.0002 	-0.000151402 	
 99.9998 	-0.000145543 	
 125.002 	-0.000139709 	
 150.002 	-0.000135314 	
 175.001 	-0.000129024 	
 200.005 	-0.000124451 	
 275.001 	-0.000109081 	
 350.002 	-0.0000967973 	
 425.002 	-0.0000876279 	
 500 	-0.0000831863 	
 600.003 	-0.0000776278 	
 700.004 	-0.0000738884 	
 800.003 	-0.0000720104 	
 900.006 	-0.0000734128 	
 1000.01 	-0.0000730579 	

	
	
