Start Time:  04/25/2022 7:47:12 PM        Time Completed:  04/25/2022 8:09:01 PM    Elapsed Time:  00:21:48
Sample ID:     JH369-Bare_IP_2p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH369-Bare_IP_2p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH369-Bare_IP_2p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH369-Bare_IP_2p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2500.01 	 0.000170729 	
 2358.82 	 0.000175676 	
 2217.65 	 0.000178841 	
 2076.47 	 0.000184125 	
 1935.29 	 0.000187769 	
 1794.11 	 0.000190513 	
 1652.94 	 0.000193864 	
 1511.76 	 0.000198111 	
 1370.59 	 0.00020067 	
 1229.41 	 0.000204266 	
 1088.23 	 0.000208664 	
 947.051 	 0.000211298 	
 805.871 	 0.000215794 	
 664.692 	 0.00021998 	
 523.513 	 0.000224101 	
 382.334 	 0.000222841 	
 241.159 	 0.00022598 	
 99.9824 	 0.000227367 	
 92.589 	 0.000227229 	
 85.1819 	 0.000227041 	
 77.7684 	 0.000228761 	
 70.3611 	 0.000227081 	
 62.9584 	 0.000226768 	
 55.5572 	 0.00022656 	
 48.1486 	 0.000226994 	
 40.7398 	 0.00022536 	
 33.3269 	 0.000224837 	
 25.9176 	 0.000222138 	
 18.5172 	 0.000219534 	
 11.1074 	 0.000213339 	
 3.7029 	 0.000206608 	
-3.70719 	 0.000194314 	
-11.1141 	 0.0000832748 	
-18.5231 	 0.000077269 	
-25.9314 	 0.0000762903 	
-33.3359 	 0.000073108 	
-40.7489 	 0.0000717762 	
-48.1507 	 0.000072921 	
-55.5576 	 0.0000719397 	
-62.9639 	 0.0000748432 	
-70.3701 	 0.0000704851 	
-77.781 	 0.0000690223 	
-85.1918 	 0.0000722267 	
-92.5971 	 0.0000720104 	
-100.001 	 0.000071687 	
-241.184 	 0.0000725763 	
-382.369 	 0.0000733083 	
-523.547 	 0.0000782858 	
-664.724 	 0.0000802272 	
-805.897 	 0.0000861988 	
-947.075 	 0.0000866963 	
-1088.25 	 0.000091676 	
-1229.43 	 0.0000957107 	
-1370.61 	 0.0000971514 	
-1511.78 	 0.000102584 	
-1652.95 	 0.00010614 	
-1794.14 	 0.000112246 	
-1935.31 	 0.000117136 	
-2076.5 	 0.000118875 	
-2217.66 	 0.000120498 	
-2358.84 	 0.000125154 	
-2500.01 	 0.000131716 	
-2358.82 	 0.000128325 	
-2217.64 	 0.000121952 	
-2076.46 	 0.000117746 	
-1935.29 	 0.000113921 	
-1794.11 	 0.00011084 	
-1652.93 	 0.000106714 	
-1511.76 	 0.000102869 	
-1370.58 	 0.0000984487 	
-1229.4 	 0.0000943297 	
-1088.23 	 0.0000922255 	
-947.051 	 0.0000886458 	
-805.879 	 0.0000837049 	
-664.702 	 0.0000814695 	
-523.52 	 0.0000780064 	
-382.345 	 0.0000742495 	
-241.173 	 0.0000720415 	
-99.9883 	 0.0000726348 	
-92.59 	 0.0000713466 	
-85.1805 	 0.0000723393 	
-77.7752 	 0.0000708099 	
-70.3719 	 0.0000713916 	
-62.9534 	 0.0000713034 	
-55.5559 	 0.0000739031 	
-48.1458 	 0.0000724635 	
-40.7412 	 0.0000737091 	
-33.337 	 0.0000736228 	
-25.9299 	 0.0000762314 	
-18.5189 	 0.0000768783 	
-11.1063 	 0.0000815243 	
-3.70432 	 0.0000874302 	
 3.70583 	 0.0000985405 	
 11.1115 	 0.000210476 	
 18.5243 	 0.00021881 	
 25.922 	 0.000220689 	
 33.3363 	 0.000223141 	
 40.7411 	 0.000225283 	
 48.1509 	 0.000224679 	
 55.5512 	 0.00022581 	
 62.9616 	 0.000226678 	
 70.3738 	 0.000227086 	
 77.7752 	 0.000227997 	
 85.1892 	 0.000226234 	
 92.597 	 0.000229919 	
 100.003 	 0.000226717 	
 241.183 	 0.000226458 	
 382.361 	 0.000222555 	
 523.545 	 0.000222011 	
 664.715 	 0.000218311 	
 805.889 	 0.000213821 	
 947.074 	 0.000211682 	
 1088.24 	 0.000206439 	
 1229.42 	 0.000203253 	
 1370.6 	 0.000199257 	
 1511.78 	 0.000196331 	
 1652.95 	 0.000192139 	
 1794.13 	 0.000188151 	
 1935.31 	 0.000183515 	
 2076.48 	 0.00017762 	
 2217.64 	 0.000174758 	
 2358.83 	 0.000169479 	
 2500.01 	 0.000167177 	

	
	
