Start Time:  04/25/2022 5:10:00 PM        Time Completed:  04/25/2022 5:31:48 PM    Elapsed Time:  00:21:48
Sample ID:     JH370-Bare_IP_2p5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH370-Bare_IP_2p5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH370-Bare_IP_2p5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH370-Bare_IP_2p5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2500.03 	 0.000126812 	
 2358.84 	 0.000132023 	
 2217.65 	 0.000135947 	
 2076.47 	 0.000138679 	
 1935.3 	 0.000141124 	
 1794.12 	 0.000145393 	
 1652.93 	 0.000150122 	
 1511.76 	 0.000153329 	
 1370.58 	 0.000156432 	
 1229.41 	 0.000157368 	
 1088.23 	 0.00016181 	
 947.049 	 0.00016404 	
 805.876 	 0.000167872 	
 664.696 	 0.000168409 	
 523.522 	 0.000172125 	
 382.341 	 0.000172943 	
 241.166 	 0.000177178 	
 99.9938 	 0.000176909 	
 92.5906 	 0.00017714 	
 85.178 	 0.000177607 	
 77.7754 	 0.000176336 	
 70.3719 	 0.000177431 	
 62.9625 	 0.000177602 	
 55.5552 	 0.000175967 	
 48.1452 	 0.000178327 	
 40.7389 	 0.000176941 	
 33.3313 	 0.000176914 	
 25.9309 	 0.000176163 	
 18.5188 	 0.000174547 	
 11.1065 	 0.000173729 	
 3.69954 	 0.000166723 	
-3.70556 	 0.000130168 	
-11.1159 	 0.000124819 	
-18.5152 	 0.000121569 	
-25.9282 	 0.000119896 	
-33.3358 	 0.000120779 	
-40.741 	 0.000120258 	
-48.1536 	 0.000118875 	
-55.5554 	 0.000119297 	
-62.9637 	 0.000119937 	
-70.3751 	 0.000119172 	
-77.7825 	 0.000119945 	
-85.1871 	 0.000119604 	
-92.5998 	 0.00011995 	
-100.003 	 0.000118392 	
-241.183 	 0.000121124 	
-382.367 	 0.000123811 	
-523.542 	 0.000125565 	
-664.716 	 0.000128962 	
-805.89 	 0.000132053 	
-947.071 	 0.000134716 	
-1088.25 	 0.000136327 	
-1229.42 	 0.000139024 	
-1370.6 	 0.00014307 	
-1511.78 	 0.000146358 	
-1652.95 	 0.000148431 	
-1794.13 	 0.000152845 	
-1935.31 	 0.000155853 	
-2076.48 	 0.000156201 	
-2217.66 	 0.000163918 	
-2358.83 	 0.000163916 	
-2500.01 	 0.00016996 	
-2358.81 	 0.000166497 	
-2217.65 	 0.000160551 	
-2076.47 	 0.000160652 	
-1935.29 	 0.000155837 	
-1794.11 	 0.000151529 	
-1652.93 	 0.000149156 	
-1511.76 	 0.000146864 	
-1370.58 	 0.000141944 	
-1229.41 	 0.000140095 	
-1088.23 	 0.000134772 	
-947.053 	 0.000133265 	
-805.877 	 0.000130142 	
-664.696 	 0.000129006 	
-523.522 	 0.000125792 	
-382.345 	 0.000122962 	
-241.16 	 0.000121168 	
-99.9921 	 0.0001193 	
-92.5898 	 0.000120592 	
-85.1828 	 0.000118969 	
-77.7777 	 0.000119559 	
-70.3719 	 0.000119314 	
-62.959 	 0.000121007 	
-55.5582 	 0.000122092 	
-48.1484 	 0.000119714 	
-40.7438 	 0.000119648 	
-33.3303 	 0.000119187 	
-25.9238 	 0.00012152 	
-18.5222 	 0.000122497 	
-11.107 	 0.000121791 	
-3.7023 	 0.000127064 	
 3.70534 	 0.000161299 	
 11.1149 	 0.000170809 	
 18.5178 	 0.000173827 	
 25.9229 	 0.000175924 	
 33.3283 	 0.000178146 	
 40.74 	 0.000178722 	
 48.1489 	 0.000177952 	
 55.5542 	 0.000177298 	
 62.9697 	 0.000179308 	
 70.3757 	 0.000178217 	
 77.787 	 0.00017835 	
 85.1908 	 0.000178882 	
 92.5998 	 0.000178787 	
 100 	 0.000177827 	
 241.185 	 0.000174717 	
 382.357 	 0.00017469 	
 523.531 	 0.000172785 	
 664.721 	 0.00016852 	
 805.897 	 0.00016709 	
 947.068 	 0.000164276 	
 1088.25 	 0.000161669 	
 1229.43 	 0.000158712 	
 1370.6 	 0.000154724 	
 1511.77 	 0.000151965 	
 1652.95 	 0.000149781 	
 1794.13 	 0.000145593 	
 1935.31 	 0.00014247 	
 2076.49 	 0.000138315 	
 2217.66 	 0.000137251 	
 2358.82 	 0.000132409 	
 2500.01 	 0.000129846 	

	
	
