Start Time:  04/25/2022 11:26:29 AM       Time Completed:  04/25/2022 11:49:26 AM   Elapsed Time:  00:22:56
Sample ID:     JH371-Bare_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_1p5T_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_1p5T_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_1p5T_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
-0.0944872 	 0.000148486 	
 13750 	-0.000140463 	
 12500 	-0.000114999 	
 11250 	-0.0000905998 	
 9999.98 	-0.0000633132 	
 8749.97 	-0.0000372 	
 7499.96 	-0.0000107412 	
 6249.95 	 0.0000181097 	
 4999.97 	 0.0000468075 	
 4499.98 	 0.0000571087 	
 3999.98 	 0.0000713425 	
 3499.97 	 0.0000753454 	
 2999.98 	 0.0000877785 	
 2499.98 	 0.00010123 	
 1999.97 	 0.000112977 	
 1499.97 	 0.000123206 	
 999.97 	 0.000132036 	
 499.971 	 0.000140461 	
 437.488 	 0.000144175 	
 374.988 	 0.000144307 	
 312.491 	 0.000146257 	
 249.991 	 0.00014593 	
 187.492 	 0.000147062 	
 124.994 	 0.000148859 	
 62.4912 	 0.000148005 	
-0.00817918 	 0.000145689 	
-62.5089 	 0.000146446 	
-125.008 	 0.000147019 	
-187.509 	 0.000147579 	
-250 	 0.000150099 	
-312.505 	 0.00014919 	
-375.008 	 0.000148737 	
-437.506 	 0.00015312 	
-500.004 	 0.000153275 	
-1000.02 	 0.000162294 	
-1500.03 	 0.000173808 	
-2000.03 	 0.000183835 	
-2500.03 	 0.000197238 	
-3000.04 	 0.000211759 	
-3500.04 	 0.000221906 	
-4000.04 	 0.000233291 	
-4500.04 	 0.000242397 	
-5000.03 	 0.000255044 	
-6250.04 	 0.000278208 	
-7500.07 	 0.000308061 	
-8750.05 	 0.000330757 	
-10000 	 0.000360719 	
-11250 	 0.000386919 	
-12500 	 0.000409422 	
-13750 	 0.000435714 	
-14756.9 	 0.000458641 	
-13750 	 0.000437849 	
-12500 	 0.000412456 	
-11250 	 0.000384757 	
-9999.98 	 0.000356914 	
-8749.96 	 0.000334188 	
-7499.96 	 0.000305086 	
-6249.97 	 0.000271951 	
-4999.96 	 0.000250038 	
-4499.98 	 0.000239187 	
-3999.96 	 0.000228534 	
-3500.01 	 0.000216268 	
-2999.97 	 0.000203112 	
-2499.98 	 0.000191193 	
-1999.97 	 0.000183312 	
-1499.98 	 0.00017267 	
-999.973 	 0.000162644 	
-499.971 	 0.000150567 	
-437.489 	 0.000153204 	
-374.995 	 0.0001509 	
-312.495 	 0.000148867 	
-249.994 	 0.000147843 	
-187.492 	 0.000146153 	
-124.992 	 0.000145641 	
-62.4927 	 0.00014522 	
 0.00486225 	 0.000145247 	
 62.5132 	 0.000148417 	
 125.006 	 0.000147152 	
 187.509 	 0.000147408 	
 250.005 	 0.000144168 	
 312.506 	 0.000145308 	
 375.005 	 0.000142353 	
 437.506 	 0.000142066 	
 500.013 	 0.000141216 	
 1000.02 	 0.000128523 	
 1500.02 	 0.000118276 	
 2000.03 	 0.000107564 	
 2500.05 	 0.0000956416 	
 3000.04 	 0.0000865532 	
 3500.03 	 0.0000713574 	
 4000.04 	 0.0000633238 	
 4500.03 	 0.0000461215 	
 5000.04 	 0.0000394424 	
 6250.07 	 0.00000365695 	
 7500.06 	-0.0000197629 	
 8750.04 	-0.0000449014 	
 10000 	-0.0000677253 	
 11250 	-0.0000940426 	
 12500 	-0.000120165 	
 13750 	-0.000141924 	
 14759.5 	-0.000162974 	

	
	
