Start Time:  04/25/2022 11:50:31 AM       Time Completed:  04/25/2022 12:12:19 PM   Elapsed Time:  00:21:47
Sample ID:     JH371-Bare_IP_2p5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_2p5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_2p5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_2p5kG\Hannah_2p5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH371-Bare_IP_2p5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 2500.01 	 0.0000985041 	
 2358.83 	 0.000102115 	
 2217.65 	 0.000105351 	
 2076.47 	 0.000107875 	
 1935.29 	 0.000112208 	
 1794.11 	 0.000113534 	
 1652.94 	 0.00011648 	
 1511.76 	 0.000119706 	
 1370.58 	 0.000121827 	
 1229.41 	 0.000124246 	
 1088.23 	 0.000128012 	
 947.043 	 0.000132243 	
 805.872 	 0.000135848 	
 664.699 	 0.000136457 	
 523.518 	 0.000140035 	
 382.34 	 0.000141114 	
 241.165 	 0.00014352 	
 99.9873 	 0.00014569 	
 92.5934 	 0.000147687 	
 85.1787 	 0.000146663 	
 77.7742 	 0.000147178 	
 70.3682 	 0.000147425 	
 62.963 	 0.000146756 	
 55.55 	 0.000146889 	
 48.1434 	 0.000147959 	
 40.7398 	 0.000146698 	
 33.3266 	 0.000147209 	
 25.9222 	 0.000147794 	
 18.5165 	 0.000148056 	
 11.1076 	 0.000148007 	
 3.7027 	 0.000147472 	
-3.70785 	 0.000142902 	
-11.1166 	 0.000144467 	
-18.5183 	 0.000143095 	
-25.9282 	 0.000142634 	
-33.3303 	 0.000144568 	
-40.7479 	 0.00014305 	
-48.1506 	 0.000143108 	
-55.5555 	 0.000145552 	
-62.9621 	 0.00014411 	
-70.3727 	 0.000144353 	
-77.7849 	 0.000144201 	
-85.1876 	 0.000145201 	
-92.596 	 0.000143628 	
-100.005 	 0.000144437 	
-241.192 	 0.000146826 	
-382.369 	 0.000151497 	
-523.544 	 0.000151904 	
-664.72 	 0.000156147 	
-805.895 	 0.000158095 	
-947.077 	 0.000162339 	
-1088.25 	 0.000166246 	
-1229.43 	 0.000166983 	
-1370.61 	 0.000171404 	
-1511.79 	 0.000173975 	
-1652.96 	 0.000176216 	
-1794.14 	 0.000179531 	
-1935.31 	 0.000181744 	
-2076.5 	 0.000189283 	
-2217.67 	 0.000190146 	
-2358.84 	 0.000193678 	
-2500.02 	 0.000198504 	
-2358.82 	 0.000195544 	
-2217.64 	 0.000192479 	
-2076.47 	 0.000187695 	
-1935.29 	 0.000185067 	
-1794.11 	 0.000181414 	
-1652.94 	 0.000179998 	
-1511.76 	 0.000173372 	
-1370.58 	 0.000169831 	
-1229.4 	 0.000168263 	
-1088.23 	 0.000165537 	
-947.052 	 0.000161673 	
-805.87 	 0.000159085 	
-669.401 	 0.000156236 	
-523.515 	 0.000153511 	
-382.354 	 0.000151181 	
-241.169 	 0.000145958 	
-99.9927 	 0.000144874 	
-92.5936 	 0.000143916 	
-85.1811 	 0.000144658 	
-77.7732 	 0.000145706 	
-70.3662 	 0.000142315 	
-62.956 	 0.000143293 	
-55.5568 	 0.000144363 	
-48.1412 	 0.000141777 	
-40.7419 	 0.000143368 	
-33.335 	 0.000141956 	
-25.9229 	 0.000142754 	
-18.5217 	 0.000142451 	
-11.1057 	 0.000142245 	
-3.69844 	 0.000143828 	
 3.70052 	 0.000146829 	
 11.1153 	 0.000146796 	
 18.5185 	 0.000146935 	
 25.9313 	 0.000146168 	
 33.341 	 0.000146867 	
 40.7436 	 0.000147769 	
 48.1529 	 0.000146579 	
 55.5605 	 0.0001468 	
 62.9564 	 0.000147129 	
 70.3692 	 0.000146555 	
 77.7803 	 0.000145746 	
 85.1858 	 0.000145966 	
 92.5965 	 0.00014512 	
 99.9982 	 0.000145957 	
 241.188 	 0.000145108 	
 382.36 	 0.000140016 	
 523.542 	 0.000138911 	
 664.717 	 0.000135572 	
 805.897 	 0.000132061 	
 947.069 	 0.00013016 	
 1088.25 	 0.000125216 	
 1229.43 	 0.000121605 	
 1370.61 	 0.000119561 	
 1511.78 	 0.00011638 	
 1652.95 	 0.000112047 	
 1794.13 	 0.000108732 	
 1935.3 	 0.00010236 	
 2076.48 	 0.000104366 	
 2217.66 	 0.0000971624 	
 2358.84 	 0.0000942245 	
 2500 	 0.0000900889 	

	
	
