Start Time:  04/25/2022 3:50:00 PM        Time Completed:  04/25/2022 4:12:43 PM    Elapsed Time:  00:22:43
Sample ID:     JH373-Bare_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH373-Bare_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220425_JH373-Bare_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220425_JH373-Bare_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14751.4 	-0.000211952 	
 13750 	-0.000188685 	
 12500 	-0.000163526 	
 11250 	-0.00013419 	
 9999.98 	-0.000106096 	
 8749.97 	-0.0000803694 	
 7499.97 	-0.0000497418 	
 6249.96 	-0.0000178199 	
 4999.96 	 0.0000170098 	
 4499.98 	 0.0000319246 	
 3999.96 	 0.0000413961 	
 3499.97 	 0.0000548743 	
 2999.98 	 0.0000673287 	
 2499.97 	 0.0000812402 	
 1999.97 	 0.0000947205 	
 1499.97 	 0.000108461 	
 999.97 	 0.00012126 	
 499.977 	 0.000139275 	
 437.493 	 0.000137056 	
 374.991 	 0.000140651 	
 312.49 	 0.000140161 	
 249.992 	 0.000142109 	
 187.489 	 0.000143456 	
 124.99 	 0.000146233 	
 62.4829 	 0.000147747 	
-0.0100976 	 0.000149372 	
-62.5068 	 0.000151285 	
-125.005 	 0.000151391 	
-187.509 	 0.000155428 	
-250.005 	 0.000156433 	
-312.506 	 0.000159368 	
-375.007 	 0.000161104 	
-437.509 	 0.000161461 	
-500.007 	 0.000163555 	
-1000.02 	 0.000176548 	
-1500.03 	 0.000188789 	
-2000.03 	 0.000206982 	
-2500.03 	 0.000220232 	
-3000.03 	 0.000232936 	
-3500.03 	 0.000243374 	
-4000.03 	 0.000257803 	
-4500.04 	 0.0002732 	
-5000.04 	 0.000289908 	
-6250.06 	 0.000313125 	
-7500.05 	 0.000344661 	
-8750.04 	 0.000374918 	
-10000 	 0.000414369 	
-11250 	 0.000436596 	
-12500 	 0.000464233 	
-13750 	 0.000490275 	
-14758.1 	 0.000514674 	
-13750 	 0.000490573 	
-12500 	 0.000463066 	
-11250 	 0.000432318 	
-9999.99 	 0.000402744 	
-8749.98 	 0.000375246 	
-7499.97 	 0.000345602 	
-6249.96 	 0.000312939 	
-4999.96 	 0.000288232 	
-4499.97 	 0.000272119 	
-3999.98 	 0.000259781 	
-3500 	 0.000242216 	
-2999.98 	 0.000230546 	
-2499.98 	 0.000217791 	
-1999.97 	 0.000202991 	
-1499.97 	 0.000194012 	
-999.973 	 0.000177837 	
-499.973 	 0.000163067 	
-437.489 	 0.000162416 	
-374.994 	 0.000159136 	
-312.487 	 0.000155483 	
-249.988 	 0.00015605 	
-187.493 	 0.000154212 	
-124.991 	 0.000152499 	
-62.4881 	 0.000152133 	
 0.00672101 	 0.000149904 	
 62.5089 	 0.000146255 	
 125.01 	 0.000146037 	
 187.509 	 0.00014426 	
 250.005 	 0.000142616 	
 312.513 	 0.000140504 	
 375.005 	 0.000138503 	
 437.508 	 0.000138107 	
 500.006 	 0.00013488 	
 1000.02 	 0.00012199 	
 1500.03 	 0.000105706 	
 2000.03 	 0.0000913611 	
 2500.03 	 0.0000800043 	
 3000.04 	 0.0000649961 	
 3500.04 	 0.0000479582 	
 4000.04 	 0.0000379156 	
 4500.03 	 0.0000203887 	
 5000.04 	 0.0000118304 	
 6250.06 	-0.0000209181 	
 7500.05 	-0.0000588011 	
 8750.04 	-0.0000890789 	
 10000 	-0.000113042 	
 11250 	-0.000137939 	
 12500 	-0.000165496 	
 13750 	-0.000191688 	
 14760.8 	-0.000215782 	

	
	
