Start Time:  05/05/2022 11:43:43 AM       Time Completed:  05/05/2022 12:22:19 PM   Elapsed Time:  00:38:35
Sample ID:     JH374-Bare_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH374-Bare_IP_5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH374-Bare_IP_5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220505_JH374-Bare_IP_5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.04 	 0.0000430073 	
 4599.99 	 0.0000533869 	
 4200 	 0.0000635131 	
 3799.99 	 0.0000743011 	
 3400 	 0.0000836921 	
 3000 	 0.0000915625 	
 2599.99 	 0.000101997 	
 2200 	 0.000111299 	
 1799.99 	 0.000121252 	
 1399.99 	 0.000130622 	
 999.986 	 0.000141385 	
 599.99 	 0.000149343 	
 199.989 	 0.0001611 	
 189.997 	 0.000160318 	
 179.999 	 0.000160053 	
 170 	 0.000159901 	
 159.997 	 0.000159378 	
 149.998 	 0.000158986 	
 139.999 	 0.00015945 	
 129.998 	 0.000159143 	
 119.998 	 0.00015815 	
 109.999 	 0.000159828 	
 99.9983 	 0.000158176 	
 89.9998 	 0.000159321 	
 79.9997 	 0.000157761 	
 69.9958 	 0.00015812 	
 59.9981 	 0.000158667 	
 49.9962 	 0.000157686 	
 39.9986 	 0.000156568 	
 29.9998 	 0.000157689 	
 19.995 	 0.000157287 	
 10.0013 	 0.00015722 	
-0.000467433 	 0.00015759 	
-9.99968 	 0.000156717 	
-19.9997 	 0.000157785 	
-30.0033 	 0.000158275 	
-40.0001 	 0.000157836 	
-50.0008 	 0.00015813 	
-60.0015 	 0.000158095 	
-70.0024 	 0.000157971 	
-80.0003 	 0.00015797 	
-90.002 	 0.000157715 	
-100.001 	 0.00015734 	
-109.999 	 0.000157757 	
-120.002 	 0.000157715 	
-130.002 	 0.00015816 	
-140.001 	 0.000158184 	
-150.002 	 0.000157967 	
-160.004 	 0.000158409 	
-170.001 	 0.000158886 	
-180 	 0.000158129 	
-190 	 0.000158384 	
-199.999 	 0.000159411 	
-600.011 	 0.000169633 	
-1000.01 	 0.000179481 	
-1400.01 	 0.00019016 	
-1800.01 	 0.000201403 	
-2200.01 	 0.00021046 	
-2600.02 	 0.000222172 	
-3000.01 	 0.000231857 	
-3400.02 	 0.00024155 	
-3800.02 	 0.000251978 	
-4200.03 	 0.000262123 	
-4600.02 	 0.000272947 	
-5000.02 	 0.000284228 	
-4600 	 0.000271193 	
-4200 	 0.000260914 	
-3800 	 0.000249674 	
-3400 	 0.000239945 	
-2999.99 	 0.000229545 	
-2599.98 	 0.000219034 	
-2199.99 	 0.000208665 	
-1799.99 	 0.000199992 	
-1399.99 	 0.000188571 	
-999.986 	 0.000177467 	
-599.99 	 0.00016733 	
-199.985 	 0.00015584 	
-189.996 	 0.000156368 	
-179.998 	 0.000156816 	
-169.997 	 0.000155996 	
-159.996 	 0.000155942 	
-149.996 	 0.000154995 	
-140 	 0.000154354 	
-129.999 	 0.000154101 	
-119.997 	 0.000154774 	
-109.999 	 0.000154936 	
-99.9983 	 0.000153845 	
-89.9967 	 0.00015411 	
-79.9953 	 0.00015383 	
-70.0011 	 0.000153302 	
-59.9996 	 0.000151707 	
-49.9967 	 0.000151902 	
-39.9976 	 0.000151911 	
-29.9992 	 0.000151489 	
-19.9953 	 0.000151146 	
-10.0005 	 0.000150647 	
-0.0000596716 	 0.000150936 	
 10.0021 	 0.000150247 	
 19.9998 	 0.000149185 	
 29.999 	 0.000150517 	
 40.0023 	 0.000149493 	
 50.0016 	 0.000149158 	
 60.0012 	 0.000149328 	
 70.001 	 0.000148131 	
 80.0025 	 0.000148459 	
 90.0025 	 0.00014855 	
 100.004 	 0.000147588 	
 110.002 	 0.000147462 	
 119.999 	 0.000147581 	
 130 	 0.000146186 	
 140.005 	 0.000146049 	
 150 	 0.000146956 	
 160.001 	 0.000146643 	
 170.002 	 0.000145257 	
 180.003 	 0.000146091 	
 190.003 	 0.000145206 	
 200.002 	 0.000143854 	
 600.006 	 0.000134632 	
 1000.01 	 0.000124372 	
 1400.02 	 0.000114868 	
 1800.02 	 0.000104305 	
 2200.01 	 0.0000934449 	
 2600.02 	 0.0000815233 	
 3000.01 	 0.0000709891 	
 3400.02 	 0.0000624393 	
 3800.02 	 0.0000489721 	
 4200.02 	 0.0000379227 	
 4600.02 	 0.00003004 	
 5000.01 	 0.0000190555 	

	
	
