Start Time:  05/05/2022 12:28:15 PM       Time Completed:  05/05/2022 1:06:51 PM    Elapsed Time:  00:38:35
Sample ID:     JH374-Bare_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH374-Bare_IP_5kG_7p5mm#2.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH374-Bare_IP_5kG_7p5mm#2.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220505_JH374-Bare_IP_5kG_7p5mm#2.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.02 	 0.0000210064 	
 4600 	 0.0000321125 	
 4200 	 0.0000414945 	
 3800 	 0.0000520977 	
 3399.99 	 0.0000621464 	
 2999.99 	 0.0000728647 	
 2599.99 	 0.0000821773 	
 2199.99 	 0.0000928774 	
 1799.99 	 0.000102566 	
 1399.99 	 0.000113255 	
 999.989 	 0.000123794 	
 599.987 	 0.000134473 	
 199.987 	 0.000144664 	
 189.998 	 0.000144517 	
 179.998 	 0.000144219 	
 170.001 	 0.000145117 	
 160 	 0.000146075 	
 149.994 	 0.000145745 	
 139.997 	 0.000146555 	
 129.998 	 0.000146777 	
 119.998 	 0.000146561 	
 109.999 	 0.000147565 	
 99.9996 	 0.000147071 	
 89.9981 	 0.000147159 	
 79.9958 	 0.000147812 	
 69.9991 	 0.000147545 	
 59.9982 	 0.000148058 	
 50.0008 	 0.000148052 	
 39.9981 	 0.000148755 	
 30.0004 	 0.000148871 	
 19.9979 	 0.000148898 	
 9.99684 	 0.000149704 	
-0.00141246 	 0.00014959 	
-10.002 	 0.000149839 	
-20.0025 	 0.000150052 	
-30.0001 	 0.000149679 	
-40.0017 	 0.000150785 	
-50.0005 	 0.000151824 	
-59.9992 	 0.000151345 	
-70.0033 	 0.000151358 	
-79.9984 	 0.000151999 	
-90.0014 	 0.000151591 	
-100.002 	 0.000152321 	
-109.999 	 0.000152336 	
-120.001 	 0.000152527 	
-130.001 	 0.000151895 	
-140 	 0.000153438 	
-149.999 	 0.000153068 	
-160.001 	 0.000154295 	
-170.001 	 0.000153893 	
-180.002 	 0.000153972 	
-190.001 	 0.000154069 	
-200.002 	 0.000154271 	
-600.01 	 0.000164685 	
-1000.01 	 0.000175165 	
-1400.02 	 0.000186141 	
-1800.02 	 0.000197228 	
-2200.01 	 0.000208141 	
-2600.02 	 0.000216866 	
-3000.02 	 0.000229075 	
-3400.02 	 0.000238159 	
-3800.02 	 0.000250426 	
-4200.02 	 0.000258635 	
-4600.02 	 0.000270348 	
-5000.01 	 0.000281048 	
-4600 	 0.000268072 	
-4200 	 0.000258822 	
-3799.99 	 0.000245995 	
-3400 	 0.000237083 	
-2999.99 	 0.000226231 	
-2599.99 	 0.000216084 	
-2199.99 	 0.000206185 	
-1799.98 	 0.000195929 	
-1399.99 	 0.000185146 	
-999.986 	 0.000176112 	
-599.988 	 0.000164956 	
-199.99 	 0.000155893 	
-189.998 	 0.000153818 	
-179.996 	 0.000153605 	
-169.998 	 0.000153973 	
-159.998 	 0.000152682 	
-149.998 	 0.000153143 	
-139.996 	 0.000151995 	
-129.998 	 0.0001525 	
-119.997 	 0.000151941 	
-109.993 	 0.000151384 	
-99.9975 	 0.000152349 	
-89.9979 	 0.000150963 	
-80.0015 	 0.000149671 	
-70.0018 	 0.000150949 	
-59.9997 	 0.000149289 	
-50.0027 	 0.000150413 	
-39.9977 	 0.000149776 	
-30.0007 	 0.000149864 	
-19.9998 	 0.000149533 	
-9.99965 	 0.000149821 	
 0.00152593 	 0.000149791 	
 10.0042 	 0.00014842 	
 20.0008 	 0.000148611 	
 30.0037 	 0.000148258 	
 40.0041 	 0.000147534 	
 50.0006 	 0.000148312 	
 60.0053 	 0.000147436 	
 70.0004 	 0.000147811 	
 80.0022 	 0.000147329 	
 90.0005 	 0.000147207 	
 100.001 	 0.00014649 	
 110.001 	 0.00014643 	
 120.005 	 0.000145156 	
 130.002 	 0.000145915 	
 140 	 0.000145181 	
 149.999 	 0.000145376 	
 160.001 	 0.000145544 	
 170.001 	 0.000144845 	
 180.002 	 0.000144651 	
 190.005 	 0.000144238 	
 200.002 	 0.000143941 	
 600.008 	 0.00013371 	
 1000.01 	 0.000124778 	
 1400.01 	 0.000113615 	
 1800.02 	 0.000101989 	
 2200.02 	 0.0000916002 	
 2600.02 	 0.0000817373 	
 3000.01 	 0.000070443 	
 3400.02 	 0.0000600036 	
 3800.02 	 0.0000498489 	
 4200.02 	 0.0000379644 	
 4600.01 	 0.0000278623 	
 5000.02 	 0.0000170205 	

	
	
