Start Time:  05/05/2022 4:47:22 PM        Time Completed:  05/05/2022 5:26:33 PM    Elapsed Time:  00:39:10
Sample ID:     JH377-Bare_IP_5kG_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH377-Bare_IP_5kG_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220505_JH377-Bare_IP_5kG_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Hannah_5kG\Hannah_5kG.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220505_JH377-Bare_IP_5kG_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 5000.02 	 0.0000604384 	
 4600 	 0.0000719588 	
 4200 	 0.000084322 	
 3800 	 0.0000955703 	
 3399.99 	 0.000105443 	
 2999.99 	 0.000116278 	
 2599.99 	 0.000128257 	
 2199.99 	 0.000139123 	
 1799.99 	 0.0001494 	
 1399.99 	 0.000161297 	
 999.988 	 0.000172413 	
 599.988 	 0.000184215 	
 199.985 	 0.000195011 	
 190.002 	 0.000194526 	
 179.997 	 0.000193473 	
 170 	 0.000192889 	
 159.999 	 0.000192629 	
 150 	 0.000192222 	
 139.998 	 0.000191277 	
 129.999 	 0.000191749 	
 119.999 	 0.000190552 	
 109.997 	 0.000189604 	
 99.9999 	 0.000188799 	
 89.9977 	 0.000188167 	
 79.9994 	 0.000188848 	
 69.9991 	 0.000187937 	
 59.9997 	 0.00018756 	
 49.9985 	 0.000186296 	
 39.9955 	 0.000187235 	
 29.9997 	 0.00018524 	
 19.9967 	 0.000184601 	
 9.99866 	 0.000185415 	
-0.00245976 	 0.000183695 	
-9.99968 	 0.000183936 	
-20.0031 	 0.000183782 	
-30.0027 	 0.000183003 	
-40.0021 	 0.000182838 	
-50 	 0.000181999 	
-60.0004 	 0.000183309 	
-70.0017 	 0.000182452 	
-79.9986 	 0.000181911 	
-89.9999 	 0.000181088 	
-99.9964 	 0.000180817 	
-110.001 	 0.00018082 	
-119.998 	 0.00018 	
-129.999 	 0.000180143 	
-140.001 	 0.000178698 	
-150.003 	 0.000179361 	
-160.003 	 0.000179713 	
-169.998 	 0.000178683 	
-180.001 	 0.000179093 	
-190.002 	 0.000178764 	
-200.001 	 0.000178507 	
-600.007 	 0.000190943 	
-1000.01 	 0.000202315 	
-1400.01 	 0.000214557 	
-1800.01 	 0.000227155 	
-2200.01 	 0.000237858 	
-2600.02 	 0.000249827 	
-3000.02 	 0.000264216 	
-3400.02 	 0.000275899 	
-3800.02 	 0.000288807 	
-4200.02 	 0.000302223 	
-4600.02 	 0.000312413 	
-5000.01 	 0.000324729 	
-4600 	 0.000310287 	
-4199.99 	 0.000297332 	
-3800 	 0.000284043 	
-3400 	 0.000270599 	
-2999.99 	 0.000257782 	
-2599.99 	 0.000245223 	
-2199.99 	 0.000231466 	
-1799.99 	 0.000219303 	
-1399.99 	 0.000206738 	
-999.99 	 0.000194426 	
-599.986 	 0.000181498 	
-199.987 	 0.000169141 	
-189.996 	 0.000168348 	
-179.998 	 0.000168067 	
-169.997 	 0.000167336 	
-159.997 	 0.00016688 	
-149.997 	 0.000166612 	
-139.998 	 0.000165886 	
-129.999 	 0.000165008 	
-119.999 	 0.00016419 	
-109.998 	 0.000164601 	
-99.9966 	 0.000163167 	
-89.9974 	 0.000162927 	
-79.9989 	 0.000161743 	
-69.9967 	 0.000160854 	
-59.9982 	 0.000161782 	
-49.9984 	 0.000161045 	
-39.9982 	 0.000160614 	
-30.0006 	 0.000160315 	
-19.9972 	 0.000159231 	
-10.0005 	 0.000158336 	
 0.00197867 	 0.000158141 	
 10.0011 	 0.000158434 	
 20.0004 	 0.000156887 	
 30.0039 	 0.000156147 	
 39.9998 	 0.000156351 	
 49.9991 	 0.000155668 	
 60.0037 	 0.000155297 	
 70.0025 	 0.000154613 	
 80.0023 	 0.000154579 	
 90.001 	 0.000153593 	
 100.001 	 0.000153841 	
 110.004 	 0.000152573 	
 119.997 	 0.000152664 	
 130.001 	 0.000151496 	
 140.002 	 0.000152258 	
 150.004 	 0.000150555 	
 160.002 	 0.000150721 	
 169.999 	 0.000149205 	
 180.002 	 0.000150367 	
 190 	 0.000149693 	
 199.999 	 0.000149077 	
 600.009 	 0.000137307 	
 1000.01 	 0.000123718 	
 1400.01 	 0.000110869 	
 1800.01 	 0.0000991791 	
 2200.02 	 0.0000841389 	
 2600.01 	 0.0000716768 	
 3000.02 	 0.0000585926 	
 3400.02 	 0.0000477884 	
 3800.02 	 0.0000323701 	
 4200.01 	 0.000020692 	
 4600.02 	 0.00000895852 	
 5000.01 	-0.00000256867 	

	
	
