Start Time:  05/12/2022 9:22:25 AM        Time Completed:  05/12/2022 9:45:09 AM    Elapsed Time:  00:22:44
Sample ID:     JH364-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH364-Co_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH364-Co_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH364-Co_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14750.5 	-0.0000771015 	
 13750 	-0.0000408333 	
 12500 	-0.00000459395 	
 11250 	 0.0000365294 	
 9999.99 	 0.0000794098 	
 8749.97 	 0.000116193 	
 7499.97 	 0.000165431 	
 6249.96 	 0.000195414 	
 4999.97 	 0.000243181 	
 4499.97 	 0.000255807 	
 3999.97 	 0.000274911 	
 3499.99 	 0.000296969 	
 2999.99 	 0.000308941 	
 2499.98 	 0.000326196 	
 1999.97 	 0.000346015 	
 1499.97 	 0.00036378 	
 999.969 	 0.000377968 	
 499.969 	 0.000395207 	
 437.488 	 0.000396005 	
 374.992 	 0.000396593 	
 312.495 	 0.000396625 	
 249.99 	 0.000399389 	
 187.488 	 0.00039685 	
 124.992 	 0.000397596 	
 62.4912 	 0.000391193 	
-0.012113 	 0.000370227 	
-62.508 	 0.0000902009 	
-125.007 	 0.0000294513 	
-187.502 	 0.0000269477 	
-250.009 	 0.00002787 	
-312.515 	 0.0000268761 	
-375.006 	 0.0000294645 	
-437.508 	 0.0000317751 	
-500.01 	 0.0000306422 	
-1000.02 	 0.000049056 	
-1500.03 	 0.000061105 	
-2000.03 	 0.0000775183 	
-2500.03 	 0.0000938591 	
-3000.04 	 0.000110868 	
-3500.03 	 0.000129581 	
-4000.05 	 0.000149068 	
-4500.03 	 0.000163736 	
-5000.03 	 0.000182162 	
-6250.05 	 0.000230238 	
-7500.06 	 0.000265779 	
-8750.03 	 0.000312668 	
-10000 	 0.000339981 	
-11250 	 0.00038655 	
-12500 	 0.00042148 	
-13750 	 0.0004592 	
-14756.1 	 0.000488934 	
-13750 	 0.00045587 	
-12500 	 0.000418873 	
-11250 	 0.000379955 	
-9999.99 	 0.000345592 	
-8749.97 	 0.000301223 	
-7499.97 	 0.000259872 	
-6249.96 	 0.000216691 	
-4999.98 	 0.00017933 	
-4499.96 	 0.000160252 	
-3999.97 	 0.000140486 	
-3500 	 0.000120923 	
-2999.97 	 0.000102694 	
-2499.98 	 0.0000909242 	
-1999.97 	 0.0000718036 	
-1499.97 	 0.0000539382 	
-999.974 	 0.0000393288 	
-499.971 	 0.0000269513 	
-437.489 	 0.0000263688 	
-374.989 	 0.0000248105 	
-312.493 	 0.0000241935 	
-249.993 	 0.0000212166 	
-187.494 	 0.0000229609 	
-124.992 	 0.0000244819 	
-62.4931 	 0.0000277428 	
 0.0106406 	 0.0000474173 	
 62.514 	 0.000320576 	
 125.006 	 0.000392378 	
 187.507 	 0.00039347 	
 250.006 	 0.000394348 	
 312.506 	 0.000392837 	
 375.006 	 0.000392534 	
 437.506 	 0.000391188 	
 500.006 	 0.000389237 	
 1000.02 	 0.00037284 	
 1500.03 	 0.000358604 	
 2000.03 	 0.000342989 	
 2500.03 	 0.000323123 	
 3000.04 	 0.000308027 	
 3500.03 	 0.000287866 	
 4000.04 	 0.000265262 	
 4500.04 	 0.000254635 	
 5000.04 	 0.000235742 	
 6250.06 	 0.000189539 	
 7500.06 	 0.000154714 	
 8750.03 	 0.000116057 	
 10000 	 0.0000746271 	
 11250 	 0.0000356171 	
 12500 	-0.0000037676 	
 13750 	-0.0000418399 	
 14758.9 	-0.0000697047 	

	
	
