Start Time:  05/12/2022 9:47:15 AM        Time Completed:  05/12/2022 10:10:29 AM   Elapsed Time:  00:23:13
Sample ID:     JH365-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH365-Co_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH365-Co_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH365-Co_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14754.9 	 0.0000671956 	
 13750 	 0.0000968455 	
 12500 	 0.000134063 	
 11250 	 0.000173311 	
 9999.98 	 0.000212843 	
 8749.97 	 0.000241462 	
 7499.95 	 0.000288752 	
 6249.95 	 0.000328541 	
 4999.97 	 0.000371162 	
 4499.97 	 0.000387824 	
 3999.97 	 0.00040258 	
 3499.97 	 0.000416929 	
 2999.97 	 0.00043783 	
 2499.97 	 0.000454812 	
 1999.97 	 0.000469601 	
 1499.98 	 0.000482471 	
 999.973 	 0.000497594 	
 499.97 	 0.00051243 	
 437.484 	 0.000510806 	
 374.998 	 0.000510366 	
 312.492 	 0.000511275 	
 249.99 	 0.000509344 	
 187.491 	 0.000508408 	
 124.992 	 0.000506331 	
 62.4916 	 0.000498149 	
-0.00771245 	 0.000477978 	
-62.5096 	 0.000224155 	
-125.005 	 0.000133505 	
-187.51 	 0.000122568 	
-250.008 	 0.000122393 	
-312.508 	 0.000121511 	
-375.006 	 0.00012184 	
-437.507 	 0.000120131 	
-500.007 	 0.000119725 	
-1000.02 	 0.000133673 	
-1500.03 	 0.000149982 	
-2000.03 	 0.000164546 	
-2500.03 	 0.000185131 	
-3000.03 	 0.000197902 	
-3500.04 	 0.000216215 	
-4000.04 	 0.000234222 	
-4500.02 	 0.000250388 	
-5000.03 	 0.000266533 	
-6250.07 	 0.000311867 	
-7500.07 	 0.000337976 	
-8750.03 	 0.000387194 	
-10000 	 0.000425026 	
-11250 	 0.000466639 	
-12500 	 0.000498538 	
-13750 	 0.000538241 	
-14759.2 	 0.000570075 	
-13750 	 0.000537225 	
-12500 	 0.000492528 	
-11250 	 0.000456512 	
-9999.99 	 0.000416956 	
-8749.97 	 0.000374197 	
-7499.95 	 0.000332428 	
-6249.97 	 0.000292328 	
-4999.96 	 0.000241682 	
-4499.97 	 0.000225784 	
-3999.99 	 0.000208037 	
-3499.99 	 0.000186792 	
-2999.98 	 0.000166634 	
-2499.98 	 0.000153041 	
-1999.97 	 0.000132765 	
-1499.98 	 0.00011436 	
-999.97 	 0.000101258 	
-499.966 	 0.0000872782 	
-437.487 	 0.000081863 	
-374.991 	 0.0000794163 	
-312.486 	 0.0000768588 	
-249.993 	 0.0000751962 	
-187.49 	 0.0000744247 	
-124.99 	 0.0000737392 	
-62.4918 	 0.0000792411 	
 0.00883033 	 0.000097103 	
 62.5073 	 0.000340061 	
 125.005 	 0.000440228 	
 187.509 	 0.000447831 	
 250.004 	 0.000448632 	
 312.507 	 0.0004476 	
 375.009 	 0.000444469 	
 437.508 	 0.00044313 	
 500.003 	 0.000439506 	
 1000.03 	 0.000425843 	
 1500.03 	 0.000408524 	
 2000.03 	 0.000390656 	
 2500.03 	 0.000371279 	
 3000.04 	 0.000352736 	
 3500.04 	 0.000336843 	
 4000.04 	 0.000312658 	
 4500.03 	 0.00029499 	
 5000.03 	 0.000292452 	
 6250.07 	 0.00024459 	
 7500.05 	 0.000198996 	
 8750.04 	 0.000159243 	
 10000 	 0.000124296 	
 11250 	 0.0000811057 	
 12500 	 0.000038614 	
 13750 	 0.000000172778 	
 14760 	-0.0000316794 	

	
	
