Start Time:  05/12/2022 11:37:00 AM       Time Completed:  05/12/2022 11:59:43 AM   Elapsed Time:  00:22:43
Sample ID:     JH365-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH365-Co_IP_1p5T_7p5mm#3.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH365-Co_IP_1p5T_7p5mm#3.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH365-Co_IP_1p5T_7p5mm#3.dat

***DATA***

Field(G)	 Moment(emu)	
 14746.4 	-0.0000903081 	
 13750 	-0.000062888 	
 12500 	-0.0000230372 	
 11250 	 0.0000202687 	
 9999.99 	 0.0000518038 	
 8749.97 	 0.0000908327 	
 7499.97 	 0.000137585 	
 6249.96 	 0.000173963 	
 4999.97 	 0.000218917 	
 4499.96 	 0.000231759 	
 3999.97 	 0.00025473 	
 3499.98 	 0.000268915 	
 2999.98 	 0.000285386 	
 2499.98 	 0.000303295 	
 1999.97 	 0.000320638 	
 1499.97 	 0.000334632 	
 999.967 	 0.000353869 	
 499.971 	 0.000367353 	
 437.489 	 0.000365848 	
 374.989 	 0.000367425 	
 312.493 	 0.000370239 	
 249.989 	 0.000368196 	
 187.491 	 0.000366893 	
 124.993 	 0.000365788 	
 62.4886 	 0.000362419 	
-0.0059438 	 0.000342187 	
-62.5046 	 0.0000897511 	
-125.011 	-0.000000164107 	
-187.506 	-0.00000946925 	
-250.007 	-0.0000114489 	
-312.506 	-0.0000105817 	
-375.003 	-0.00000961493 	
-437.508 	-0.00000806649 	
-500.006 	-0.00000763877 	
-1000.02 	 0.00000510323 	
-1500.02 	 0.0000201355 	
-2000.03 	 0.000037374 	
-2500.04 	 0.0000551104 	
-3000.03 	 0.0000738642 	
-3500.04 	 0.0000932117 	
-4000.04 	 0.000107315 	
-4500.03 	 0.000129923 	
-5000.04 	 0.000139892 	
-6250.07 	 0.00018844 	
-7500.07 	 0.000228156 	
-8750.03 	 0.000256355 	
-10000 	 0.000305435 	
-11250 	 0.000341231 	
-12500 	 0.000384806 	
-13750 	 0.000421178 	
-14753.7 	 0.000452259 	
-13750 	 0.000419443 	
-12500 	 0.000383005 	
-11250 	 0.000341706 	
-9999.98 	 0.000303561 	
-8749.98 	 0.000268943 	
-7499.96 	 0.000215845 	
-6249.97 	 0.000180685 	
-4999.97 	 0.000147266 	
-4499.97 	 0.000126521 	
-3999.98 	 0.000104806 	
-3500 	 0.0000894565 	
-2999.97 	 0.0000731369 	
-2499.97 	 0.0000524996 	
-1999.97 	 0.0000354912 	
-1499.97 	 0.0000190724 	
-999.971 	 0.00000491979 	
-499.969 	-0.00000427695 	
-437.489 	-0.0000105179 	
-374.989 	-0.0000121926 	
-312.49 	-0.000012204 	
-249.985 	-0.0000121741 	
-187.492 	-0.0000125989 	
-124.992 	-0.0000131326 	
-62.4924 	-0.0000067339 	
 0.00932953 	 0.0000118544 	
 62.5067 	 0.000254073 	
 125.009 	 0.000357694 	
 187.509 	 0.00036639 	
 250.003 	 0.000367165 	
 312.505 	 0.000366738 	
 375.009 	 0.000365132 	
 437.506 	 0.000364454 	
 500.009 	 0.00036458 	
 1000.02 	 0.000347911 	
 1500.03 	 0.000330593 	
 2000.03 	 0.000318666 	
 2500.02 	 0.000300335 	
 3000.05 	 0.000279504 	
 3500.03 	 0.000261934 	
 4000.03 	 0.000244048 	
 4500.04 	 0.000225699 	
 5000.04 	 0.000208735 	
 6250.05 	 0.0001629 	
 7500.05 	 0.000130009 	
 8750.03 	 0.0000993641 	
 10000 	 0.0000499824 	
 11250 	 0.0000124787 	
 12500 	-0.0000281058 	
 13750 	-0.0000713192 	
 14757.2 	-0.000100103 	

	
	
