Start Time:  05/12/2022 8:30:00 PM        Time Completed:  05/12/2022 8:52:45 PM    Elapsed Time:  00:22:45
Sample ID:     JH380-Co_IP_1p5T_7p5mm

Experiment:    c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.exp
Data File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH380-Co_IP_1p5T_7p5mm#1.txt
Plot File:     C:\Users\VSM\Desktop\VSM Data\20220512_JH380-Co_IP_1p5T_7p5mm#1.oc2
VSM Exp File:  c:\Ideasvsm\Default UserID\Experiments\Jason_1p5T_cus\Jason_1p5T_cus.stp
VSM Data File: C:\Users\VSM\Desktop\VSM Data\20220512_JH380-Co_IP_1p5T_7p5mm#1.dat

***DATA***

Field(G)	 Moment(emu)	
 14746 	-0.0001 	
 13750 	-0.0000688949 	
 12500 	-0.0000275699 	
 11250 	 0.00001451 	
 9999.98 	 0.0000534285 	
 8749.96 	 0.0000956692 	
 7499.97 	 0.000144878 	
 6249.96 	 0.000176489 	
 4999.96 	 0.000222447 	
 4499.97 	 0.0002454 	
 3999.97 	 0.000259955 	
 3499.96 	 0.000279642 	
 2999.97 	 0.000296944 	
 2499.97 	 0.000321114 	
 1999.98 	 0.000331883 	
 1499.97 	 0.000352729 	
 999.968 	 0.000367746 	
 499.969 	 0.000382823 	
 437.487 	 0.000383715 	
 374.984 	 0.00038541 	
 312.488 	 0.000386362 	
 249.992 	 0.000386717 	
 187.486 	 0.000386314 	
 124.992 	 0.000383913 	
 62.4961 	 0.000379368 	
-0.0106467 	 0.00036179 	
-62.5059 	 0.00019247 	
-125.007 	 0.000042897 	
-187.505 	 0.0000367372 	
-250.013 	 0.0000378521 	
-312.505 	 0.0000371139 	
-375.006 	 0.0000390508 	
-437.509 	 0.0000407329 	
-500.011 	 0.0000406155 	
-1000.02 	 0.0000564337 	
-1500.02 	 0.0000727129 	
-2000.03 	 0.0000901377 	
-2500.03 	 0.000111601 	
-3000.03 	 0.000126853 	
-3500.03 	 0.000148178 	
-4000.03 	 0.000166622 	
-4500.05 	 0.000179237 	
-5000.05 	 0.00020069 	
-6250.07 	 0.000256054 	
-7500.07 	 0.000294294 	
-8750.05 	 0.000328069 	
-10000 	 0.000373529 	
-11250 	 0.000415751 	
-12500 	 0.000452346 	
-13750 	 0.000495048 	
-14754 	 0.000528145 	
-13750 	 0.000493444 	
-12500 	 0.000454344 	
-11250 	 0.000412448 	
-9999.99 	 0.000369854 	
-8749.98 	 0.000326757 	
-7499.95 	 0.00027917 	
-6249.97 	 0.00023933 	
-4999.96 	 0.00019685 	
-4499.96 	 0.000176334 	
-3999.97 	 0.00015981 	
-3499.98 	 0.000139102 	
-2999.98 	 0.000119262 	
-2499.97 	 0.000105206 	
-1999.97 	 0.0000841291 	
-1499.98 	 0.0000642965 	
-999.971 	 0.0000516063 	
-499.966 	 0.0000341139 	
-437.49 	 0.0000361364 	
-374.993 	 0.0000345963 	
-312.493 	 0.0000329477 	
-249.993 	 0.000030905 	
-187.495 	 0.0000311203 	
-124.995 	 0.0000337398 	
-62.4916 	 0.0000390339 	
 0.00661094 	 0.0000551577 	
 62.5061 	 0.000212172 	
 125.005 	 0.000374027 	
 187.505 	 0.000377666 	
 250.005 	 0.000378181 	
 312.508 	 0.000377549 	
 375.008 	 0.000375687 	
 437.504 	 0.000375388 	
 500.001 	 0.000375569 	
 1000.02 	 0.000358957 	
 1500.03 	 0.000341036 	
 2000.03 	 0.000323631 	
 2500.03 	 0.000305493 	
 3000.04 	 0.000285334 	
 3500.04 	 0.000267761 	
 4000.04 	 0.000250187 	
 4500.04 	 0.000229694 	
 5000.04 	 0.000211614 	
 6250.05 	 0.000172881 	
 7500.06 	 0.000122055 	
 8750.04 	 0.0000744547 	
 10000 	 0.0000501705 	
 11250 	 0.00000374226 	
 12500 	-0.0000451883 	
 13750 	-0.0000822647 	
 14757.4 	-0.000117 	

	
	
